Time,Mean Value
1999.991,-10.80669388
2000.018,-10.72207817
2000.045,-10.63746247
2000.072,-10.55284676
2000.099,-10.46823105
2000.126,-10.38361535
2000.153,-10.29899964
2000.180,-10.21438393
2000.207,-10.12976823
2000.235,-10.04201861
2000.289,-9.87278719
2000.316,-9.78817149
2000.343,-9.70355578
2000.370,-9.61894008
2000.397,-9.53432437
2000.424,-9.44970866
2000.451,-9.36509296
2000.478,-9.28047725
2000.505,-9.19586154
2000.533,-9.10811192
2000.587,-8.93888051
2000.614,-8.8542648
2000.641,-8.7696491
2000.668,-8.68503339
2000.695,-8.60041769
2000.722,-8.51580198
2000.749,-8.43118627
2000.776,-8.34657057
2000.803,-8.26195486
2000.858,-8.08958953
2000.884,-8.00810774
2000.913,-7.91722421
2000.939,-7.83574241
2000.966,-7.75112671
2000.993,-7.666511
2001.020,-7.5818953
2001.075,-7.40952997
2001.102,-7.32491426
2001.129,-7.24029856
2001.156,-7.15568285
2001.183,-7.07106714
2001.210,-6.98645144
2001.238,-6.89870182
2001.265,-6.81408611
2001.292,-6.7294704
2001.319,-6.6448547
2001.346,-6.56023899
2001.373,-6.47562328
2001.401,-6.38787366
2001.428,-6.30325796
2001.455,-6.21864225
2001.482,-6.13402654
2001.509,-6.04941084
2001.536,-5.96479513
2001.564,-5.87704551
2001.591,-5.7924298
2001.618,-5.7078141
2001.645,-5.62319839
2001.672,-5.53858269
2001.699,-5.45396698
2001.727,-5.36621736
2001.754,-5.28160165
2001.781,-5.19698595
2001.808,-5.11237024
2001.835,-5.02775453
2001.862,-4.94313883
2001.890,-4.85538921
2001.917,-4.7707735
2001.944,-4.68615779
2001.971,-4.60154209
2001.998,-4.51692638
2002.026,-4.42917676
2002.052,-4.34769497
2002.081,-4.25681143
2002.107,-4.17532964
2002.134,-4.09071393
2002.161,-4.00609823
2002.189,-3.91834861
2002.216,-3.8337329
2002.243,-3.74911719
2002.270,-3.66450149
2002.297,-3.57988578
2002.324,-3.49527008
2002.351,-3.41065437
2002.379,-3.32290475
2002.406,-3.23828904
2002.433,-3.15367334
2002.460,-3.06905763
2002.487,-2.98444192
2002.514,-2.89982622
2002.542,-2.8120766
2002.569,-2.72746089
2002.596,-2.64284518
2002.623,-2.55822948
2002.650,-2.47361377
2002.677,-2.38899806
2002.705,-2.30124844
2002.732,-2.21663274
2002.759,-2.13201703
2002.786,-2.04740132
2002.813,-1.96278562
2002.840,-1.87816991
2002.868,-1.79042029
2002.893,-1.71207241
2002.922,-1.62118888
2002.949,-1.53657317
2002.976,-1.45195747
2003.003,-1.36734176
2003.031,-1.27959214
2003.058,-1.19497643
2003.085,-1.11036073
2003.112,-1.02574502
2003.139,-0.94112931
2003.166,-0.85651361
2003.194,-0.76876399
2003.221,-0.68414828
2003.248,-0.59953257
2003.279,-0.50238121
2003.302,-0.43030116
2003.329,-0.34568545
2003.357,-0.25793583
2003.384,-0.17332013
2003.411,-0.08870442
2003.438,-0.00408871
2003.465,0.08052699
2003.492,0.1651427
2003.520,0.25289232
2003.547,0.33750803
2003.574,0.42212373
2003.601,0.50673944
2003.628,0.59135514
2003.655,0.67597085
2003.683,0.76372047
2003.710,0.84833618
2003.737,0.93295188
2003.764,1.01756759
2003.791,1.1021833
2003.818,1.186799
2003.846,1.27454862
2003.871,1.3528965
2003.911,1.4782531
2003.927,1.52839574
2003.954,1.61301145
2003.981,1.69762716
2004.008,1.78224286
2004.036,1.86999248
2004.063,1.95460819
2004.090,2.0392239
2004.113,2.11130394
2004.148,2.22099097
2004.171,2.29307101
2004.198,2.37768672
2004.225,2.46230243
2004.251,2.54378422
2004.279,2.63153384
2004.307,2.71928346
2004.334,2.80389917
2004.361,2.88851487
2004.388,2.97313058
2004.415,3.05774629
2004.442,3.14236199
2004.469,3.2269777
2004.496,3.3115934
2004.523,3.39620911
2004.550,3.48082482
2004.577,3.56544052
2004.605,3.65319014
2004.632,3.73780585
2004.659,3.82242156
2004.686,3.90703726
2004.713,3.99165297
2004.740,4.07626868
2004.767,4.16088438
2004.794,4.24550009
2004.821,4.33011579
2004.848,4.4147315
2004.875,4.49934721
2004.902,4.58396291
2004.930,4.67171253
2004.957,4.75632824
2004.984,4.84094395
2005.011,4.92555965
2005.038,5.01017536
2005.065,5.09479107
2005.092,5.17940677
2005.120,5.26715639
2005.147,5.3517721
2005.174,5.43638781
2005.201,5.52100351
2005.228,5.60561922
2005.255,5.69023492
2005.282,5.77485063
2005.310,5.86260025
